order,group,SITE_HISTORY_ID,SITE_OLD_SITE_ID,SITE_NAME,SITE_PREVIOUS_NAME,SITE_BASIN,SITE_LOCATION,SITE_RIVMILE,SITE_HUC8,SITE_RIB_ID,SITE_STATION,SITE_DESC,SITE_LATITUDE,SITE_LONGITUDE,SITE_CITY_TOWN,SITE_COUNTY,SITE_FIPS_CDE,SITE_DEC_REGION,SITE_NHD_REACHCODE,SITE_NHD_M_VALUE,SITE_PWL_ID,SITE_WATERSHED_ID_NUM,SITE_WATER_QLTY_STANDARD,ECO_REGION,SITE_HABITAT_TYPE,SITE_SITE_CONDITION,SITE_DRAINAGE,SITE_NTL_ELEVATION_DATASET_10
25,Wallkill Main Stem,13-WALK-9.8,NA,Wallkill River,,13,WALK,9.8,2020007,,,(multiplate) upstream of new paltz golf course. boat launch upstream of rte 209 at 41.743779 / -74.092916.,41.765737,-74.092973,Lloyd,Ulster,111,3,2.02001E+12,NA,1306-0027,H-139-13 (portion 2),B,11,,,NA,47.4566
22,Wallkill Main Stem,13-WALK-19.0,1078,Wallkill River,WALK-10 (pre-2017),13,WALK,19,2020007,,10,lazy river campground-20 m above shawangunk confl.,41.68306,-74.16444,Gardiner,Ulster,111,3,NA,NA,1306-0045,H-139-13-19,B,11,High_gradient;hard_bottom,Altered,NA,54.56101
21,Wallkill Main Stem,13-WALK-22.8,1077,Wallkill River,,13,WALK,22.8,2020007,,9,10 m above bridge.,41.635,-74.18889,Shawangunk,Ulster,111,3,NA,NA,1306-0038,H-139-13 (portion 3),B,11,High_gradient;hard_bottom,Altered,NA,67.56767
19,Wallkill Main Stem,13-WALK-26.9,42675106,Wallkill River,,13,WALK,26.9,2020007,,26.9,downstream of tin brook. sr 208.,41.5763,-74.19071,Montgomery,Orange,71,3,NA,NA,1306-0038,H-139-13 (portion 3),B,11,High_gradient;hard_bottom,Altered,NA,72.45
17,Wallkill Main Stem,13-WALK-29.9,42675107,Wallkill River,,13,WALK,29.9,2020007,,29.9,access via park on farm meadow lane.,41.54217,-74.20946,Montgomery,Orange,71,3,NA,NA,1306-0038,H-139-13 (portion 3),B,11,High_gradient;hard_bottom,Altered,NA,98.46146
16,Wallkill Main Stem,13-WALK-35.6,1074,Wallkill River,,13,WALK,35.6,2020007,,6,20 m below rt. 211 bridge.,41.5025,-74.26334,Montgomery,Orange,71,3,NA,NA,1306-0038,H-139-13 (portion 3),B,11,High_gradient;hard_bottom,Altered,NA,103.267
15,Wallkill Main Stem,13-WALK-44.4,NA,Wallkill River,,13,WALK,44.4,2020007,,,at midway rd. bridge.,41.438788,-74.365652,Wallkill,Orange,71,3,2.02001E+12,NA,1306-0038,H-139-13 (portion 3),B,11,,,NA,103.371
7,Wallkill Main Stem,13-WALK-46.6,1072,Wallkill River,WALK-04 (pre-2017),13,WALK,46.6,2020007,,4,at echo lake rd. bridge.,41.41222,-74.37805,Goshen,Orange,71,3,NA,NA,1306-0017,H-139-13 (portion 4),C,11,High_gradient;hard_bottom,Altered,NA,109.7092
1,Wallkill Main Stem,13-WALK-60.1,1069,Wallkill River,,13,WALK,60.1,2020007,,1,oil city rd. at usfws wildlife refuge (before 2017. samples were taken 0.4 miles off state line rd. on farm rd.).,41.29083,-74.53056,Warwick,Orange,71,3,NA,NA,1306-0017,H-139-13 (portion 4),C,11,,,NA,115.6
6,Upper Wallkill Trib,13-WCHEE-0.6,42674584,Cheechunk Creek,,13,WCHEE,0.6,2020007,,1,hartley rd.,41.4086,-74.37299,Goshen,Orange,71,3,NA,NA,1306-0061,H-139-13-20 thru 53,C,11,High_gradient;hard_bottom,Altered,NA,112.3726
26,Lower Wallkill Trib,13-WKLEI-0.6,42674556,Kleine Kill,,13,WKLEI,0.6,2020007,,2,dug rd.,41.7749,-74.0975,New Paltz,Ulster,111,3,NA,NA,1306-0042,H-139-13-11,C,7,High_gradient;hard_bottom,Altered,NA,58.15773
